ID,CPU,RAM
1,9,33
2,16,33
3,15,33
4,15,33
5,13,33
6,18,33
7,13,33
8,13,33
9,12,33
10,14,33
11,15,33
12,12,33
13,15,33
14,15,33
15,16,33
16,15,33
17,17,33
18,13,33
19,28,33
20,15,33
21,16,33
22,18,33
23,18,33
24,21,33
25,18,33
26,13,33
27,16,34
28,15,34
29,12,34
30,15,34
31,16,34
32,17,34
33,14,34
34,13,34
35,14,34
36,16,34
37,15,34
38,16,34
39,13,34
40,15,34
41,10,34
42,12,34
43,16,34
44,15,34
45,13,34
46,12,34
47,12,34
48,14,34
49,16,34
50,15,34
51,14,34
52,16,34
53,13,35
54,15,35
55,17,35
56,16,35
57,17,35
58,13,35
59,16,35
60,14,35
61,14,35
62,13,35
63,17,35
64,15,35
65,12,35
66,12,35
67,16,35
68,12,35
69,15,35
70,14,35
71,19,36
72,20,36
73,16,36
74,24,36
75,20,36
76,13,36
77,21,36
78,17,36
79,18,36
80,10,36
81,19,36
82,14,36
83,25,36
84,12,36
85,20,36
86,19,36
87,19,36
88,15,36
89,17,36
90,12,36
91,12,36
92,15,36
93,12,36
94,11,36
95,13,37
96,15,37
97,19,37
98,12,37
99,14,37
100,15,37
101,15,37
102,16,37
103,18,37
104,12,37
105,18,37
106,12,37
107,13,37
108,14,37
109,15,37
110,22,37
111,21,37
112,15,37
